date,state,city,level,lat,lng,cases,pop2019,ibgeCode,casesPer100k,deaths,deathRate
2020-03-12,RJ,Niterói,city,-22.888429641723643,-43.11463928222656,1,513584.0,3303302.0,0.19471,0.0,0.0
2020-03-12,RS,Porto Alegre,city,-30.033920288085927,-51.227989196777344,2,1483771.0,4314902.0,0.13479000000000002,0.0,0.0
2020-03-12,PE,Recife,city,-8.055310249328612,-34.87199020385742,2,1645727.0,2611606.0,0.12153,0.0,0.0
2020-03-12,GO,Rio Verde,city,-17.793840408325195,-50.92919921875,1,235647.0,5218805.0,0.42436,0.0,0.0
2020-03-12,RJ,Rio de Janeiro,city,-22.91216087341309,-43.175010681152344,13,6718903.0,3304557.0,0.19347999999999999,0.0,0.0
2020-03-12,SP,Santana de Parnaíba,city,-23.44651985168457,-46.91873168945313,1,139447.0,3547304.0,0.71712,0.0,0.0
2020-03-12,SP,São Paulo,city,-23.56287002563477,-46.65467834472656,44,12252023.0,3550308.0,0.35912,0.0,0.0
2020-03-13,AL,0,state,-9.662039756774902,-35.73516082763672,1,3337357.0,27.0,0.029960000000000007,0.0,0.0
2020-03-13,AM,0,state,-3.122299909591675,-60.01462173461914,1,4144597.0,13.0,0.024130000000000002,0.0,0.0
2020-03-13,BA,0,state,-12.972900390625,-38.50123977661133,7,14873064.0,29.0,0.047060000000000005,0.0,0.0
2020-03-13,DF,0,state,-15.792110443115234,-47.89775085449219,2,3015268.0,53.0,0.06633,0.0,0.0
2020-03-13,ES,0,state,-20.30677032470703,-40.30622863769531,2,4018650.0,32.0,0.04977,0.0,0.0
2020-03-13,GO,0,state,-16.690370559692386,-49.25838088989258,3,7018354.0,52.0,0.04275,0.0,0.0
2020-03-13,MG,0,state,-19.91864013671875,-43.935691833496094,2,21168791.0,31.0,0.00945,0.0,0.0
2020-03-13,PB,0,state,-7.130489826202393,-34.8673095703125,0,4018127.0,25.0,0.0,0.0,0.0
2020-03-13,PE,0,state,-8.085169792175293,-34.91463851928711,2,9557071.0,26.0,0.02093,0.0,0.0
2020-03-13,PR,0,state,-25.430479049682607,-49.28451156616211,6,11433957.0,41.0,0.05248,0.0,0.0
2020-03-13,RJ,0,state,-22.90880012512207,-43.196739196777344,15,17264943.0,33.0,0.08688,0.0,0.0
2020-03-13,RN,0,state,-5.805920124053955,-35.21054077148437,1,3506853.0,24.0,0.02852,0.0,0.0
2020-03-13,RS,0,state,-30.03952980041504,-51.2169303894043,4,11377239.0,43.0,0.035160000000000004,0.0,0.0
2020-03-13,SC,0,state,-27.59984016418457,-48.54182052612305,3,7164788.0,42.0,0.04187,0.0,0.0
2020-03-13,SP,0,state,-23.53396987915039,-46.628868103027344,46,45919049.0,35.0,0.10017999999999999,0.0,0.0
2020-03-13,RJ,Barra Mansa,city,-22.54132080078125,-44.169090270996094,1,184412.0,3300407.0,0.5422600000000001,0.0,0.0
2020-03-13,DF,Brasília,city,-15.778429985046387,-47.92864990234375,2,3015268.0,5300108.0,0.06633,0.0,0.0
2020-03-13,RS,Campo Bom,city,-29.58502960205078,-51.08980941772461,1,66712.0,4303905.0,1.49898,0.0,0.0
2020-03-13,RS,Caxias do Sul,city,-29.16781997680664,-51.17895889282226,1,510906.0,4305108.0,0.19573,0.0,0.0
2020-03-13,PR,Cianorte,city,-23.66323089599609,-52.60538864135742,1,82620.0,4105508.0,1.21036,0.0,0.0
2020-03-13,PR,Curitiba,city,-25.439979553222656,-49.27653884887695,5,1933105.0,4106902.0,0.25865,0.0,0.0
2020-03-13,MG,Divinópolis,city,-20.1389102935791,-44.887290954589844,1,238230.0,3122306.0,0.41976,0.0,0.0
2020-03-13,BA,Feira de Santana,city,-12.25551986694336,-38.95991897583008,4,614872.0,2910800.0,0.65054,0.0,0.0
2020-03-13,SP,Ferraz de Vasconcelos,city,-23.54303932189941,-46.37017822265625,1,194276.0,3515707.0,0.51473,0.0,0.0
2020-03-13,SC,Florianópolis,city,-27.59758949279785,-48.54798889160156,2,500973.0,4205407.0,0.39921999999999996,0.0,0.0
2020-03-13,GO,Goiânia,city,-16.679309844970707,-49.25645065307617,2,1516113.0,5208707.0,0.13192,0.0,0.0
2020-03-13,MG,Ipatinga,city,-19.466920852661133,-42.536399841308594,1,263410.0,3131307.0,0.37964000000000003,0.0,0.0
2020-03-13,SC,Joinville,city,-26.304880142211914,-48.84621047973633,1,590466.0,4209102.0,0.16935999999999998,0.0,0.0
2020-03-13,AL,Maceió,city,-9.66648006439209,-35.73498916625977,1,1018948.0,2704302.0,0.09813999999999999,0.0,0.0
2020-03-13,RN,Natal,city,-5.795440196990968,-35.211509704589844,1,884122.0,2408102.0,0.11310999999999999,0.0,0.0
2020-03-13,RJ,Niterói,city,-22.888429641723643,-43.11463928222656,1,513584.0,3303302.0,0.19471,0.0,0.0
2020-03-13,RS,Porto Alegre,city,-30.033920288085927,-51.227989196777344,2,1483771.0,4314902.0,0.13479000000000002,0.0,0.0
2020-03-13,PE,Recife,city,-8.055310249328612,-34.87199020385742,2,1645727.0,2611606.0,0.12153,0.0,0.0
2020-03-13,GO,Rio Verde,city,-17.793840408325195,-50.92919921875,1,235647.0,5218805.0,0.42436,0.0,0.0
2020-03-13,RJ,Rio de Janeiro,city,-22.91216087341309,-43.175010681152344,13,6718903.0,3304557.0,0.19347999999999999,0.0,0.0
2020-03-13,BA,Salvador,city,-12.9864501953125,-38.52259063720703,3,2872347.0,2927408.0,0.10444,0.0,0.0
